BFSNR;NAME;DATUM;STIMMBERECHTIGTE;AUSL_SCHWEIZER;EINGELANGTE;LEERE;UNGUELTIGE;GUELTIGE;JA_STIMMEN;NEIN_STIMMEN;BRIEF_EINGEL;BRIEF_UNGUELTIG;EVOTING_EINGEL;URNEN_EINGEL
4202;Meisterschwanden;2018-09-23;2081.0;...;794.0;8.0;...;786.0;130.0;656.0;788.0;10.0;...;18.0
4203;Möriken-Wildegg;2018-09-23;2809.0;...;1113.0;13.0;...;1100.0;235.0;865.0;1097.0;5.0;...;30.0
4204;Niederlenz;2018-09-23;2677.0;...;879.0;15.0;...;864.0;208.0;656.0;869.0;18.0;...;35.0
4205;Othmarsingen;2018-09-23;1721.0;...;546.0;6.0;...;540.0;134.0;406.0;550.0;8.0;...;9.0
4206;Rupperswil;2018-09-23;3440.0;...;1116.0;14.0;...;1102.0;212.0;890.0;1136.0;21.0;...;11.0
4207;Schafisheim;2018-09-23;1964.0;...;730.0;6.0;...;724.0;197.0;527.0;727.0;14.0;...;25.0
4208;Seengen;2018-09-23;2796.0;...;1149.0;8.0;...;1141.0;217.0;924.0;1141.0;9.0;...;36.0
4209;Seon;2018-09-23;3208.0;...;1103.0;8.0;10.0;1085.0;235.0;850.0;1089.0;25.0;...;45.0
4210;Staufen;2018-09-23;2203.0;...;917.0;10.0;...;907.0;206.0;701.0;925.0;10.0;...;16.0
4221;Abtwil;2018-09-23;648.0;...;227.0;1.0;...;226.0;37.0;189.0;217.0;2.0;...;13.0
4222;Aristau;2018-09-23;1009.0;...;302.0;4.0;...;298.0;56.0;242.0;297.0;4.0;...;10.0
